"metric_id","metric_name","group_id","group_name","unit","publication_status"
"1","Administradoras de Consórcio Autorizadas e Ativas pelo Unicad","1","Administradoras de Consórcio","unidade","pendente"
"2","Administradoras de Consórcio
com grupos e cotas ativas","1","Administradoras de Consórcio","unidade","pendente"
"5","Administradoras com cotas ativas de imóveis","1","Administradoras de Consórcio","unidade","pendente"
"6","Administradoras com cotas ativas de veículos pesados","1","Administradoras de Consórcio","unidade","pendente"
"7","Administradoras com cotas ativas de automóveis","1","Administradoras de Consórcio","unidade","pendente"
"8","Administradoras com cotas ativas de motocicletas","1","Administradoras de Consórcio","unidade","pendente"
"3","Patrimônio Líquido Ajustado - PLA - Total das Administradoras de Consórcios","2","PLA","R$ bilhões","pendente"
"4","Disponibilidade Total - DT - Total das Administradoras de Consórcios","3","DT","R$ bilhões","pendente"
"9","Grupos de Consórcio ativos - Total","4","Grupos ativos","unidade","pendente"
"10","Cotas ativas - Total","5","Cotas ativas","mil","pendente"
"11","Cotas ativas - Imóveis","5","Cotas ativas","mil","pendente"
"12","Cotas ativas - Veículos Pesados","5","Cotas ativas","mil","pendente"
"13","Cotas ativas - Automóveis","5","Cotas ativas","mil","pendente"
"14","Cotas ativas - Motocicletas","5","Cotas ativas","mil","pendente"
"15","Cotas Ativas - Outros bens móveis duráveis (eletroeletrônicos, eletrodomésticos, móveis e outros)","5","Cotas ativas","mil","pendente"
"16","Cotas ativas - Serviços","5","Cotas ativas","mil","pendente"
"17","Cotas ativas - Ônibus e Micro-ônibus (cód. 21)","5","Cotas ativas","mil","pendente"
"18","Cotas Ativas - Caminhões e Caminhões-Tratores  (cód. 22)","5","Cotas ativas","mil","pendente"
"19","Cotas ativas - Equipamentos Rodoviários e Agrícolas  (cód. 23)","5","Cotas ativas","mil","pendente"
"20","Cotas ativas - Máquinas Agrícolas  (cód. 24)","5","Cotas ativas","mil","pendente"
"21","Cotas Ativas - Embarcações e Aeronaves (cód. 25)","5","Cotas ativas","mil","pendente"
"22","Carteira - Total","6","Carteira","R$ bilhões","pendente"
"23","Carteira - Imóveis","6","Carteira","R$ bilhões","pendente"
"24","Carteira - Automóveis","6","Carteira","R$ bilhões","pendente"
"25","Carteira - Motocicletas","6","Carteira","R$ bilhões","pendente"
"26","Carteira - Veículos Automotores (veículos pesados, veículos comerciais leves e motocicletas) -","6","Carteira","R$ bilhões","pendente"
"27","Carteira - Outros Bens Móveis e Serviços","6","Carteira","R$ milhões","pendente"
"28","Cotas ativas contempladas no últimos 12 meses - Total","7","Ativos Contemplados","mil","pendente"
"29","Cotas ativas contempladas no últimos 12 meses - por Sorteio - Total","7","Ativos Contemplados","mil","pendente"
"30","Cotas ativas contempladas no últimos 12 meses - por Lance - Total","7","Ativos Contemplados","mil","pendente"
"31","Cotas ativas contempladas nos últimos 12 meses - Imóveis","7","Ativos Contemplados","mil","pendente"
"32","Cotas ativas contempladas no últimos 12 meses - por Sorteio - Imóveis","7","Ativos Contemplados","mil","pendente"
"33","Cotas ativas contempladas no últimos 12 meses - por Lance - Imóveis","7","Ativos Contemplados","mil","pendente"
"34","Cotas ativas contempladas nos últimos 12 meses - Automóveis","7","Ativos Contemplados","mil","pendente"
"35","Cotas ativas contempladas no últimos 12 meses - por Sorteio - Automóveis","7","Ativos Contemplados","mil","pendente"
"36","Cotas ativas contempladas no últimos 12 meses - por Lance - Automóveis","7","Ativos Contemplados","mil","pendente"
"37","Cotas ativas contempladas nos últimos 12 meses - Motocicletas","7","Ativos Contemplados","mi","pendente"
"38","Cotas ativas contempladas no últimos 12 meses - por Sorteio - Motocicletas","7","Ativos Contemplados","mil","pendente"
"39","Cotas ativas contempladas no últimos 12 meses - por Lance - Motocicletas","7","Ativos Contemplados","mil","pendente"
"40","Cotas ativas contempladas nos últimos 12 meses - Outros Bens Móveis e Serviços","7","Ativos Contemplados","mil","pendente"
"41","Cotas ativas contempladas nos últimos 12 meses - por Sorteio - Outros Bens Móveis e Serviços","7","Ativos Contemplados","mil","pendente"
"42","Cotas ativas contempladas nos últimos 12 meses - por Lance - Outros Bens Móveis e Serviços","7","Ativos Contemplados","mil","pendente"
"43","Cotas excluídas - Total","8","Cotas excluídas","mil","pendente"
"44","Excluídos Contemplados - Total (Sorteio)","8","Cotas excluídas","mil","pendente"
"45","Cotas excluídas - Total - Imóveis","8","Cotas excluídas","mil","pendente"
"46","Cotas excluídas - Total - Automóveis","8","Cotas excluídas","mil","pendente"
"47","Cotas excluídas - Total - Motocicletas","8","Cotas excluídas","mil","pendente"
"48","Cotas excluídas - Total - Outros Bens Móveis e Serviços","8","Cotas excluídas","mil","pendente"
"49","Índice de Exclusão - Total","9","Índice de Exclusão","%","pendente"
"50","Índice de Exclusão - IE - Imóveis","9","Índice de Exclusão","%","pendente"
"51","Índice de Exclusão - IE - Automóveis","9","Índice de Exclusão","%","pendente"
"52","Índice de Exclusão - IE - Motocicletas","9","Índice de Exclusão","%","pendente"
"53","Índice de Exclusão - IE - Outros Bens Móveis e Serviços","9","Índice de Exclusão","%","pendente"
"54","Cotas Comercializadas nos últimos 12 meses - Total","10","Cotas Comercializadas","mil","pendente"
"55","Cotas comercializadas nos últimos 12 meses - Imóveis","10","Cotas Comercializadas","mil","pendente"
"56","Cotas comercializadas nos últimos 12 meses - Veículos Pesados","10","Cotas Comercializadas","mil","pendente"
"57","Cotas comercializadas nos últimos 12 meses - Automóveis","10","Cotas Comercializadas","mil","pendente"
"58","Cotas comercializadas nos últimos 12 meses - Motocicletas","10","Cotas Comercializadas","mil","pendente"
"59","Cotas Comercializadas nos últimos 12 meses - Eletroeletrônicos, eletrodomésticos, mobiliário e outros bens móveis duráveis","10","Cotas Comercializadas","mil","pendente"
"60","Cotas comercializadas nos últimos 12 meses - Serviços","10","Cotas Comercializadas","mil","pendente"
"61","Índice de Inadimplência - Total","11","Inadimplência","%","pendente"
"62","Índice de Pré Inadimplência - Total","12","Pré Inadimplência","%","pendente"
"63","Recursos Coletados nos Últimos 12 meses - Total","13","Recursos Coletados","R$ bilhões","pendente"
"64","Recursos Coletados nos últimos 12 meses - Imóveis","13","Recursos Coletados","R$ bilhões","pendente"
"65","Recursos Coletados nos últimos 12 meses - Automóveis","13","Recursos Coletados","R$ bilhões","pendente"
"66","Recursos Coletados nos últimos 12 meses - Motocicletas","13","Recursos Coletados","R$ bilhões","pendente"
"67","Recursos Coletados nos últimos 12 meses - Outros Bens Móveis e Serviços","13","Recursos Coletados","R$ bilhões","pendente"
"68","Recursos a Coletar - Total","14","Recursos a Coletar","R$ milhões","pendente"
"69","Recursos a Coletar - Imóveis","14","Recursos a Coletar","R$ bilhões","pendente"
"70","Recursos a Coletar - Automóveis","14","Recursos a Coletar","R$ bilhões","pendente"
"71","Recursos a Coletar - Motocicletas","14","Recursos a Coletar","R$ bilhões","pendente"
"72","Recursos a Coletar - Outros Bens Móveis e Serviços","14","Recursos a Coletar","R$ bilhões","pendente"
"73","RNP - Saldo Total","15","RNP","R$ milhões","pendente"
"74","RNP - Valor ""Taxável"" -","15","RNP","R$ milhões","pendente"
"75","RNP - Taxa Permanência Mensal Média","15","RNP","%","pendente"
"76","RNP - Valor total de Taxa de Permanência cobrada nos últimos 12 meses","15","RNP","R$ milhões","pendente"
"77","RNP - Valores devolvidos via SVR","15","RNP","R$ bilhões","pendente"
"78","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - TOTAL","16","Taxa de Administração","%","pendente"
"79","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Imóveis","16","Taxa de Administração","%","pendente"
"80","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Veículos Pesados","16","Taxa de Administração","%","pendente"
"81","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Automóveis","16","Taxa de Administração","%","pendente"
"82","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Motocicletas","16","Taxa de Administração","%","pendente"
"83","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Outros Bens Móveis","16","Taxa de Administração","%","pendente"
"84","Taxa Média Adm. dos grupos constituídos nos últimos 12 meses - Serviços","16","Taxa de Administração","%","pendente"
"85","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - TOTAL","17","Valor Médio","R$ mil","pendente"
"86","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Imóveis","17","Valor Médio","R$ mil","pendente"
"87","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Veículos Pesados","17","Valor Médio","R$ mil","pendente"
"88","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Automóveis","17","Valor Médio","R$ mil","pendente"
"89","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Motocicletas","17","Valor Médio","R$ mil","pendente"
"90","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Outros bens móveis duráveis (eletroeletrônicos, eletrodomésticos, móveis e outros)","17","Valor Médio","R$ mil","pendente"
"91","Valor Médio dos Créditos dos grupos constituídos nos últimos 12 meses - Serviços","17","Valor Médio","R$ mil","pendente"
"92","Prazo médio dos grupos constituídos nos últimos 12 meses - TOTAL","18","Prazo Médio","meses","pendente"
"93","Prazo médio dos grupos constituídos nos últimos 12 meses - Imóveis","18","Prazo Médio","meses","pendente"
"94","Prazo médio dos grupos constiotuídos no ano - Veículos Pesados","18","Prazo Médio","meses","pendente"
"95","Prazo médio dos grupos constituídos nos últimos 12 meses - Automóveis","18","Prazo Médio","meses","pendente"
"96","Prazo médio dos grupos constituídos nos últimos 12 meses - Motocicletas","18","Prazo Médio","meses","pendente"
"97","Prazo médio dos grupos constituídos nos últimos 12 meses - Outros bens móveis duráveis (eletroeletrônicos, eletrodomésticos, móveis e outros)","18","Prazo Médio","meses","pendente"
"98","Prazo médio dos grupos constituídos nos últimos 12 meses - Serviços","18","Prazo Médio","meses","pendente"
"99","Cotas Ativas por Estado - SP","19","Cotas Ativas por Estado","mil","pendente"
"100","Cotas Ativas por Estado - MG","19","Cotas Ativas por Estado","mil","pendente"
"101","Cotas Ativas por Estado - PR","19","Cotas Ativas por Estado","mil","pendente"
"102","Cotas Ativas por Estado - BA","19","Cotas Ativas por Estado","mil","pendente"
"103","Cotas Ativas por Estado - RS","19","Cotas Ativas por Estado","mil","pendente"
"104","Cotas Ativas por Estado - SC","19","Cotas Ativas por Estado","mil","pendente"
"105","Cotas Ativas por Estado - GO","19","Cotas Ativas por Estado","mil","pendente"
"106","Cotas Ativas por Estado - RJ","19","Cotas Ativas por Estado","mil","pendente"
"107","Cotas Ativas por Estado - PA","19","Cotas Ativas por Estado","mil","pendente"
"108","Cotas Ativas por Estado - MT","19","Cotas Ativas por Estado","mil","pendente"
"109","Cotas Ativas por Estado - MA","19","Cotas Ativas por Estado","mil","pendente"
"110","Cotas Ativas por Estado - PE","19","Cotas Ativas por Estado","mil","pendente"
"111","Cotas Ativas por Estado - CE","19","Cotas Ativas por Estado","mil","pendente"
"112","Cotas Ativas por Estado - ES","19","Cotas Ativas por Estado","mil","pendente"
"113","Cotas Ativas por Estado - MS","19","Cotas Ativas por Estado","mil","pendente"
"114","Cotas Ativas por Estado - PI","19","Cotas Ativas por Estado","mil","pendente"
"115","Cotas Ativas por Estado - PB","19","Cotas Ativas por Estado","mil","pendente"
"116","Cotas Ativas por Estado - DF","19","Cotas Ativas por Estado","mil","pendente"
"117","Cotas Ativas por Estado - AL","19","Cotas Ativas por Estado","mil","pendente"
"118","Cotas Ativas por Estado - RO","19","Cotas Ativas por Estado","mil","pendente"
"119","Cotas Ativas por Estado - TO","19","Cotas Ativas por Estado","mil","pendente"
"120","Cotas Ativas por Estado - RN","19","Cotas Ativas por Estado","mil","pendente"
"121","Cotas Ativas por Estado - SE","19","Cotas Ativas por Estado","mil","pendente"
"122","Cotas Ativas por Estado - AM","19","Cotas Ativas por Estado","mil","pendente"
"123","Cotas Ativas por Estado - AC","19","Cotas Ativas por Estado","mil","pendente"
"124","Cotas Ativas por Estado - AP","19","Cotas Ativas por Estado","mil","pendente"
"125","Cotas Ativas por Estado - RR","19","Cotas Ativas por Estado","mil","pendente"
